GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000211275.1	273898	N/A	N/A	
GCA_001651475.1	3278228	N/A	N/A	
GCA_900660825.1	8658948	N/A	N/A	
GCA_902460265.3	17728628	N/A	N/A	
GCA_902460275.1	14116188	N/A	N/A	
GCA_902460285.1	14116168	N/A	N/A	
GCA_902460295.1	14116228	N/A	N/A	
GCA_902460305.1	14116208	N/A	N/A	
GCA_902460315.1	14116248	N/A	N/A	
GCA_902825305.1	19599358	N/A	N/A	
GCA_903064275.1	20352888	N/A	N/A	
GCA_903064285.1	20352808	N/A	N/A	
GCA_903064295.1	20352828	N/A	N/A	
GCA_903064325.1	20352868	N/A	N/A	
GCA_904420315.1	22144298	N/A	N/A	
GCA_000001735.2	6591738	GCF_000001735.4	6591728	
