GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID
GCA_003185045.1	6647918	N/A	N/A
GCA_003704525.1	7685028	N/A	N/A
GCA_003709335.1	7684968	N/A	N/A
GCA_009176585.1	14711848	N/A	N/A
GCA_014529475.1	22055518	N/A	N/A
GCA_016432965.1	24459368	N/A	N/A
GCA_019095955.1	27664378	N/A	N/A
GCA_019095975.1	27664368	N/A	N/A
GCA_019095995.1	27664418	N/A	N/A
GCA_019096015.1	27664348	N/A	N/A
GCA_019096025.1	27664388	N/A	N/A
GCA_902166955.1	18105458	N/A	N/A
GCA_902166965.1	18105478	N/A	N/A
GCA_902166975.1	18105538	N/A	N/A
GCA_902166985.1	18105518	N/A	N/A
GCA_902166995.1	18105498	N/A	N/A
GCA_902167005.1	18105598	N/A	N/A
GCA_902167015.1	18105578	N/A	N/A
GCA_902167025.1	18105558	N/A	N/A
GCA_902167035.1	18105638	N/A	N/A
GCA_902167045.1	18105618	N/A	N/A
GCA_902167055.1	18105658	N/A	N/A
GCA_902167065.1	18105678	N/A	N/A
GCA_902167075.1	18105698	N/A	N/A
GCA_902167085.1	18105778	N/A	N/A
GCA_902167095.1	18105818	N/A	N/A
GCA_902167105.1	18105738	N/A	N/A
GCA_902167115.1	18105758	N/A	N/A
GCA_902167135.1	18105718	N/A	N/A
GCA_902167155.1	18105838	N/A	N/A
GCA_902167165.1	18105858	N/A	N/A
GCA_902167175.1	18105878	N/A	N/A
GCA_902167185.1	18105918	N/A	N/A
GCA_902167205.1	18105898	N/A	N/A
GCA_902167375.1	18105938	N/A	N/A
GCA_902373975.1	18105958	N/A	N/A
GCA_902714155.1	19716718	N/A	N/A
GCA_905067065.1	22990858	N/A	N/A
GCA_910593975.1	30367148	N/A	N/A
GCA_000005005.6	4100518	GCF_000005005.2	4159858
GCA_902167145.1	18105798	GCF_902167145.1	21461368
