	
[seqwish::seqidx] 0.043 indexing sequences
[seqwish::seqidx] 2127.004 index built
[seqwish::alignments] 2127.004 processing alignments
[seqwish::alignments] 8938.554 indexing
[seqwish::alignments] 64419.272 index built
[seqwish::transclosure] 64419.280 computing transitive closures
[seqwish::transclosure] 64436.750 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 64626.408 0.00% 0-50000000 rank_build
[seqwish::transclosure] 64744.877 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 64965.499 0.00% 0-50000000 dset_write
[seqwish::transclosure] 64997.779 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 65017.842 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 65031.216 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 65047.589 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 65078.525 1.70% 50000000-100000000 overlap_collect
[seqwish::transclosure] 65222.227 1.70% 50000000-100000000 rank_build
[seqwish::transclosure] 65336.274 1.70% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 65978.679 1.70% 50000000-100000000 dset_write
[seqwish::transclosure] 66010.727 1.70% 50000000-100000000 dset_compression
[seqwish::transclosure] 66036.181 1.70% 50000000-100000000 dset_sort
[seqwish::transclosure] 66052.587 1.70% 50000000-100000000 dset_invert
[seqwish::transclosure] 66068.122 1.70% 50000000-100000000 graph_emission
[seqwish::transclosure] 66457.731 3.36% 100000000-150000000 overlap_collect
[seqwish::transclosure] 66926.016 3.36% 100000000-150000000 rank_build
[seqwish::transclosure] 67014.132 3.36% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 67450.812 3.36% 100000000-150000000 dset_write
[seqwish::transclosure] 67473.258 3.36% 100000000-150000000 dset_compression
[seqwish::transclosure] 67488.668 3.36% 100000000-150000000 dset_sort
[seqwish::transclosure] 67498.393 3.36% 100000000-150000000 dset_invert
[seqwish::transclosure] 67511.124 3.36% 100000000-150000000 graph_emission
[seqwish::transclosure] 67662.865 4.58% 150000000-200000000 overlap_collect
[seqwish::transclosure] 67810.471 4.58% 150000000-200000000 rank_build
[seqwish::transclosure] 67918.888 4.58% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 68564.547 4.58% 150000000-200000000 dset_write
[seqwish::transclosure] 68594.828 4.58% 150000000-200000000 dset_compression
[seqwish::transclosure] 68630.151 4.58% 150000000-200000000 dset_sort
[seqwish::transclosure] 68642.839 4.58% 150000000-200000000 dset_invert
