[seqwish::seqidx] 0.005 indexing sequences
[seqwish::seqidx] 2103.997 index built
[seqwish::alignments] 2103.997 processing alignments
[seqwish::alignments] 6524.770 indexing
[seqwish::alignments] 40892.760 index built
[seqwish::transclosure] 40892.768 computing transitive closures
[seqwish::transclosure] 40909.978 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 41049.277 0.00% 0-50000000 rank_build
[seqwish::transclosure] 41170.051 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 41387.740 0.00% 0-50000000 dset_write
[seqwish::transclosure] 41417.697 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 41439.432 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 41452.481 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 41469.242 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 41500.907 1.67% 50000000-100000000 overlap_collect
[seqwish::transclosure] 41634.237 1.67% 50000000-100000000 rank_build
[seqwish::transclosure] 41742.553 1.67% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 41961.483 1.67% 50000000-100000000 dset_write
[seqwish::transclosure] 41989.889 1.67% 50000000-100000000 dset_compression
[seqwish::transclosure] 42012.601 1.67% 50000000-100000000 dset_sort
[seqwish::transclosure] 42034.576 1.67% 50000000-100000000 dset_invert
[seqwish::transclosure] 42051.486 1.67% 50000000-100000000 graph_emission
[seqwish::transclosure] 42418.847 3.32% 100000000-150000000 overlap_collect
[seqwish::transclosure] 42511.119 3.32% 100000000-150000000 rank_build
[seqwish::transclosure] 42602.637 3.32% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 42748.728 3.32% 100000000-150000000 dset_write
[seqwish::transclosure] 42764.223 3.32% 100000000-150000000 dset_compression
[seqwish::transclosure] 42777.261 3.32% 100000000-150000000 dset_sort
[seqwish::transclosure] 42786.226 3.32% 100000000-150000000 dset_invert
[seqwish::transclosure] 42796.098 3.32% 100000000-150000000 graph_emission
[seqwish::transclosure] 43205.353 4.41% 150000000-200000000 overlap_collect
[seqwish::transclosure] 43336.495 4.41% 150000000-200000000 rank_build
[seqwish::transclosure] 43445.968 4.41% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 43663.194 4.41% 150000000-200000000 dset_write
[seqwish::transclosure] 43687.584 4.41% 150000000-200000000 dset_compression
[seqwish::transclosure] 43710.581 4.41% 150000000-200000000 dset_sort
[seqwish::transclosure] 43723.067 4.41% 150000000-200000000 dset_invert
[seqwish::transclosure] 43738.942 4.41% 150000000-200000000 graph_emission
[seqwish::transclosure] 43877.197 6.05% 200000000-320689841 overlap_collect
[seqwish::transclosure] 44041.520 6.05% 200000000-320689841 rank_build
[seqwish::transclosure] 44147.528 6.05% 200000000-320689841 parallel_union_find
[seqwish::transclosure] 44360.947 6.05% 200000000-320689841 dset_write
[seqwish::transclosure] 44393.266 6.05% 200000000-320689841 dset_compression
[seqwish::transclosure] 44417.190 6.05% 200000000-320689841 dset_sort
[seqwish::transclosure] 44429.682 6.05% 200000000-320689841 dset_invert
[seqwish::transclosure] 44442.304 6.05% 200000000-320689841 graph_emission
[seqwish::transclosure] 44716.071 7.65% 320689841-756691890 overlap_collect
[seqwish::transclosure] 44835.345 7.65% 320689841-756691890 rank_build
[seqwish::transclosure] 44896.384 7.65% 320689841-756691890 parallel_union_find
[seqwish::transclosure] 44904.528 7.65% 320689841-756691890 dset_write
[seqwish::transclosure] 44907.048 7.65% 320689841-756691890 dset_compression
[seqwish::transclosure] 44909.023 7.65% 320689841-756691890 dset_sort
[seqwish::transclosure] 44910.343 7.65% 320689841-756691890 dset_invert
[seqwish::transclosure] 44912.828 7.65% 320689841-756691890 graph_emission
[seqwish::transclosure] 45481.470 7.81% 756691890-1755677739 overlap_collect
[seqwish::transclosure] 45502.836 7.81% 756691890-1755677739 rank_build
[seqwish::transclosure] 45562.798 7.81% 756691890-1755677739 parallel_union_find
[seqwish::transclosure] 45563.684 7.81% 756691890-1755677739 dset_write
[seqwish::transclosure] 45564.524 7.81% 756691890-1755677739 dset_compression
[seqwish::transclosure] 45565.213 7.81% 756691890-1755677739 dset_sort
[seqwish::transclosure] 45565.805 7.81% 756691890-1755677739 dset_invert
[seqwish::transclosure] 45566.515 7.81% 756691890-1755677739 graph_emission
[seqwish::transclosure] 45595.340 7.87% 1755677739-2690991021 overlap_collect
[seqwish::transclosure] 45603.803 7.87% 1755677739-2690991021 rank_build
[seqwish::transclosure] 45660.042 7.87% 1755677739-2690991021 parallel_union_find
[seqwish::transclosure] 45660.666 7.87% 1755677739-2690991021 dset_write
[seqwish::transclosure] 45661.344 7.87% 1755677739-2690991021 dset_compression
[seqwish::transclosure] 45661.960 7.87% 1755677739-2690991021 dset_sort
[seqwish::transclosure] 45662.484 7.87% 1755677739-2690991021 dset_invert
[seqwish::transclosure] 45663.162 7.87% 1755677739-2690991021 graph_emission
[seqwish::transclosure] 45677.920 7.92% 2690991021-3687474935 overlap_collect
[seqwish::transclosure] 45683.288 7.92% 2690991021-3687474935 rank_build
