[seqwish::seqidx] 1.312 indexing sequences
[seqwish::seqidx] 2125.054 index built
[seqwish::alignments] 2125.054 processing alignments
[seqwish::alignments] 6664.320 indexing
[seqwish::alignments] 46258.170 index built
[seqwish::transclosure] 46258.178 computing transitive closures
[seqwish::transclosure] 46275.370 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 46428.083 0.00% 0-50000000 rank_build
[seqwish::transclosure] 46547.548 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 46765.187 0.00% 0-50000000 dset_write
[seqwish::transclosure] 46792.785 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 46814.102 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 46827.252 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 46842.448 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 46871.112 1.68% 50000000-100000000 overlap_collect
[seqwish::transclosure] 47004.524 1.68% 50000000-100000000 rank_build
[seqwish::transclosure] 47113.939 1.68% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 47765.622 1.68% 50000000-100000000 dset_write
[seqwish::transclosure] 47795.848 1.68% 50000000-100000000 dset_compression
[seqwish::transclosure] 47820.938 1.68% 50000000-100000000 dset_sort
[seqwish::transclosure] 47836.773 1.68% 50000000-100000000 dset_invert
[seqwish::transclosure] 47851.572 1.68% 50000000-100000000 graph_emission
[seqwish::transclosure] 48234.147 3.33% 100000000-150000000 overlap_collect
[seqwish::transclosure] 48336.270 3.33% 100000000-150000000 rank_build
[seqwish::transclosure] 48426.574 3.33% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 48801.590 3.33% 100000000-150000000 dset_write
[seqwish::transclosure] 48820.998 3.33% 100000000-150000000 dset_compression
[seqwish::transclosure] 48836.007 3.33% 100000000-150000000 dset_sort
[seqwish::transclosure] 48844.983 3.33% 100000000-150000000 dset_invert
[seqwish::transclosure] 48856.705 3.33% 100000000-150000000 graph_emission
[seqwish::transclosure] 49299.679 4.46% 150000000-200000000 overlap_collect
[seqwish::transclosure] 49434.816 4.46% 150000000-200000000 rank_build
[seqwish::transclosure] 49543.768 4.46% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 50146.454 4.46% 150000000-200000000 dset_write
[seqwish::transclosure] 50173.910 4.46% 150000000-200000000 dset_compression
[seqwish::transclosure] 50196.045 4.46% 150000000-200000000 dset_sort
[seqwish::transclosure] 50209.062 4.46% 150000000-200000000 dset_invert
[seqwish::transclosure] 50226.530 4.46% 150000000-200000000 graph_emission
[seqwish::transclosure] 50423.726 6.10% 200000000-356622700 overlap_collect
[seqwish::transclosure] 50610.850 6.10% 200000000-356622700 rank_build
[seqwish::transclosure] 50747.643 6.10% 200000000-356622700 parallel_union_find
[seqwish::transclosure] 51283.277 6.10% 200000000-356622700 dset_write
[seqwish::transclosure] 51316.264 6.10% 200000000-356622700 dset_compression
[seqwish::transclosure] 51339.365 6.10% 200000000-356622700 dset_sort
[seqwish::transclosure] 51356.585 6.10% 200000000-356622700 dset_invert
[seqwish::transclosure] 51369.618 6.10% 200000000-356622700 graph_emission
[seqwish::transclosure] 51648.284 7.71% 356622700-890584504 overlap_collect
[seqwish::transclosure] 51770.701 7.71% 356622700-890584504 rank_build
[seqwish::transclosure] 51835.932 7.71% 356622700-890584504 parallel_union_find
[seqwish::transclosure] 51851.397 7.71% 356622700-890584504 dset_write
[seqwish::transclosure] 51853.669 7.71% 356622700-890584504 dset_compression
[seqwish::transclosure] 51855.454 7.71% 356622700-890584504 dset_sort
[seqwish::transclosure] 51856.745 7.71% 356622700-890584504 dset_invert
[seqwish::transclosure] 51858.181 7.71% 356622700-890584504 graph_emission
[seqwish::transclosure] 52445.873 7.85% 890584504-1889621827 overlap_collect
[seqwish::transclosure] 52462.546 7.85% 890584504-1889621827 rank_build
[seqwish::transclosure] 52519.638 7.85% 890584504-1889621827 parallel_union_find
[seqwish::transclosure] 52521.522 7.85% 890584504-1889621827 dset_write
[seqwish::transclosure] 52522.317 7.85% 890584504-1889621827 dset_compression
[seqwish::transclosure] 52522.915 7.85% 890584504-1889621827 dset_sort
[seqwish::transclosure] 52523.491 7.85% 890584504-1889621827 dset_invert
[seqwish::transclosure] 52524.191 7.85% 890584504-1889621827 graph_emission
[seqwish::transclosure] 52540.469 7.90% 1889622843-2716026405 overlap_collect
[seqwish::transclosure] 52547.463 7.90% 1889622843-2716026405 rank_build
[seqwish::transclosure] 52603.397 7.90% 1889622843-2716026405 parallel_union_find
[seqwish::transclosure] 52603.841 7.90% 1889622843-2716026405 dset_write
[seqwish::transclosure] 52604.483 7.90% 1889622843-2716026405 dset_compression
[seqwish::transclosure] 52605.041 7.90% 1889622843-2716026405 dset_sort
[seqwish::transclosure] 52605.550 7.90% 1889622843-2716026405 dset_invert
[seqwish::transclosure] 52606.165 7.90% 1889622843-2716026405 graph_emission
[seqwish::transclosure] 52619.405 7.95% 2716026405-3856458916 overlap_collect
[seqwish::transclosure] 52625.158 7.95% 2716026405-3856458916 rank_build
[seqwish::transclosure] 52683.418 7.95% 2716026405-3856458916 parallel_union_find
[seqwish::transclosure] 52683.561 7.95% 2716026405-3856458916 dset_write
[seqwish::transclosure] 52683.996 7.95% 2716026405-3856458916 dset_compression
[seqwish::transclosure] 52684.356 7.95% 2716026405-3856458916 dset_sort
[seqwish::transclosure] 52684.773 7.95% 2716026405-3856458916 dset_invert
[seqwish::transclosure] 52685.231 7.95% 2716026405-3856458916 graph_emission
[seqwish::transclosure] 52698.277 7.98% 3856663189-4860067788 overlap_collect
[seqwish::transclosure] 52704.797 7.98% 3856663189-4860067788 rank_build
[seqwish::transclosure] 52759.616 7.98% 3856663189-4860067788 parallel_union_find
[seqwish::transclosure] 52760.253 7.98% 3856663189-4860067788 dset_write
[seqwish::transclosure] 52760.999 7.98% 3856663189-4860067788 dset_compression
[seqwish::transclosure] 52761.601 7.98% 3856663189-4860067788 dset_sort
[seqwish::transclosure] 52762.235 7.98% 3856663189-4860067788 dset_invert
[seqwish::transclosure] 52762.921 7.98% 3856663189-4860067788 graph_emission
[seqwish::transclosure] 52775.931 8.03% 4860067788-6021562146 overlap_collect
[seqwish::transclosure] 52780.264 8.03% 4860067788-6021562146 rank_build
[seqwish::transclosure] 52839.535 8.03% 4860067788-6021562146 parallel_union_find
[seqwish::transclosure] 52839.759 8.03% 4860067788-6021562146 dset_write
[seqwish::transclosure] 52840.424 8.03% 4860067788-6021562146 dset_compression
[seqwish::transclosure] 52840.968 8.03% 4860067788-6021562146 dset_sort
[seqwish::transclosure] 52841.494 8.03% 4860067788-6021562146 dset_invert
[seqwish::transclosure] 52842.108 8.03% 4860067788-6021562146 graph_emission
[seqwish::transclosure] 52856.226 8.08% 6021562146-7568947137 overlap_collect
[seqwish::transclosure] 52861.531 8.08% 6021562146-7568947137 rank_build
[seqwish::transclosure] 52916.039 8.08% 6021562146-7568947137 parallel_union_find
[seqwish::transclosure] 52916.126 8.08% 6021562146-7568947137 dset_write
[seqwish::transclosure] 52916.439 8.08% 6021562146-7568947137 dset_compression
[seqwish::transclosure] 52916.682 8.08% 6021562146-7568947137 dset_sort
[seqwish::transclosure] 52917.094 8.08% 6021562146-7568947137 dset_invert
[seqwish::transclosure] 52917.464 8.08% 6021562146-7568947137 graph_emission
[seqwish::transclosure] 52930.983 8.10% 7568947137-8719737099 overlap_collect
[seqwish::transclosure] 52935.097 8.10% 7568947137-8719737099 rank_build
[seqwish::transclosure] 52990.527 8.10% 7568947137-8719737099 parallel_union_find
[seqwish::transclosure] 52990.586 8.10% 7568947137-8719737099 dset_write
[seqwish::transclosure] 52990.927 8.10% 7568947137-8719737099 dset_compression
[seqwish::transclosure] 52991.191 8.10% 7568947137-8719737099 dset_sort
[seqwish::transclosure] 52991.617 8.10% 7568947137-8719737099 dset_invert
[seqwish::transclosure] 52992.007 8.10% 7568947137-8719737099 graph_emission
[seqwish::transclosure] 53005.034 8.13% 8719737099-9978715131 overlap_collect
[seqwish::transclosure] 53008.952 8.13% 8719737099-9978715131 rank_build
[seqwish::transclosure] 53064.952 8.13% 8719737099-9978715131 parallel_union_find
[seqwish::transclosure] 53065.054 8.13% 8719737099-9978715131 dset_write
[seqwish::transclosure] 53065.355 8.13% 8719737099-9978715131 dset_compression
[seqwish::transclosure] 53065.609 8.13% 8719737099-9978715131 dset_sort
[seqwish::transclosure] 53066.009 8.13% 8719737099-9978715131 dset_invert
[seqwish::transclosure] 53066.415 8.13% 8719737099-9978715131 graph_emission
[seqwish::transclosure] 53080.115 8.15% 9978715131-10978815894 overlap_collect
[seqwish::transclosure] 53083.553 8.15% 9978715131-10978815894 rank_build
[seqwish::transclosure] 53138.067 8.15% 9978715131-10978815894 parallel_union_find
[seqwish::transclosure] 53138.205 8.15% 9978715131-10978815894 dset_write
[seqwish::transclosure] 53138.571 8.15% 9978715131-10978815894 dset_compression
[seqwish::transclosure] 53138.835 8.15% 9978715131-10978815894 dset_sort
[seqwish::transclosure] 53139.311 8.15% 9978715131-10978815894 dset_invert
[seqwish::transclosure] 53139.734 8.15% 9978715131-10978815894 graph_emission
[seqwish::transclosure] 53152.205 8.17% 10978815894-11943245603 overlap_collect
[seqwish::transclosure] 53155.850 8.17% 10978815894-11943245603 rank_build
[seqwish::transclosure] 53214.021 8.17% 10978815894-11943245603 parallel_union_find
[seqwish::transclosure] 53214.135 8.17% 10978815894-11943245603 dset_write
[seqwish::transclosure] 53214.537 8.17% 10978815894-11943245603 dset_compression
[seqwish::transclosure] 53214.858 8.17% 10978815894-11943245603 dset_sort
