octopus08
[seqwish::seqidx] 0.004 indexing sequences
[seqwish::seqidx] 891.785 index built
[seqwish::alignments] 891.786 processing alignments
[seqwish::alignments] 1665.702 indexing
[seqwish::alignments] 3846.479 index built
[seqwish::transclosure] 3846.481 computing transitive closures
[seqwish::transclosure] 3853.569 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 3878.685 0.00% 0-50000000 rank_build
[seqwish::transclosure] 3920.987 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 3957.374 0.00% 0-50000000 dset_write
[seqwish::transclosure] 3968.773 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 3980.185 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 3987.990 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 3995.856 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 4005.882 1.65% 50000000-100000000 overlap_collect
[seqwish::transclosure] 4029.521 1.65% 50000000-100000000 rank_build
[seqwish::transclosure] 4071.976 1.65% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 4190.765 1.65% 50000000-100000000 dset_write
[seqwish::transclosure] 4206.495 1.65% 50000000-100000000 dset_compression
[seqwish::transclosure] 4218.390 1.65% 50000000-100000000 dset_sort
[seqwish::transclosure] 4223.067 1.65% 50000000-100000000 dset_invert
[seqwish::transclosure] 4233.587 1.65% 50000000-100000000 graph_emission
[seqwish::transclosure] 4411.930 3.29% 100000000-150000000 overlap_collect
[seqwish::transclosure] 4430.577 3.29% 100000000-150000000 rank_build
[seqwish::transclosure] 4466.411 3.29% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 4538.315 3.29% 100000000-150000000 dset_write
[seqwish::transclosure] 4546.641 3.29% 100000000-150000000 dset_compression
[seqwish::transclosure] 4554.020 3.29% 100000000-150000000 dset_sort
[seqwish::transclosure] 4557.312 3.29% 100000000-150000000 dset_invert
[seqwish::transclosure] 4564.146 3.29% 100000000-150000000 graph_emission
[seqwish::transclosure] 4759.069 4.35% 150000000-200000000 overlap_collect
[seqwish::transclosure] 4783.097 4.35% 150000000-200000000 rank_build
[seqwish::transclosure] 4828.133 4.35% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 4951.360 4.35% 150000000-200000000 dset_write
[seqwish::transclosure] 4966.810 4.35% 150000000-200000000 dset_compression
[seqwish::transclosure] 4978.350 4.35% 150000000-200000000 dset_sort
[seqwish::transclosure] 4983.523 4.35% 150000000-200000000 dset_invert
[seqwish::transclosure] 4993.268 4.35% 150000000-200000000 graph_emission
[seqwish::transclosure] 5070.760 5.98% 200000000-250000000 overlap_collect
[seqwish::transclosure] 5095.060 5.98% 200000000-250000000 rank_build
[seqwish::transclosure] 5138.471 5.98% 200000000-250000000 parallel_union_find
[seqwish::transclosure] 5252.819 5.98% 200000000-250000000 dset_write
[seqwish::transclosure] 5267.275 5.98% 200000000-250000000 dset_compression
[seqwish::transclosure] 5279.413 5.98% 200000000-250000000 dset_sort
[seqwish::transclosure] 5284.022 5.98% 200000000-250000000 dset_invert
[seqwish::transclosure] 5294.071 5.98% 200000000-250000000 graph_emission
[seqwish::transclosure] 5456.547 7.61% 250000000-300000000 overlap_collect
