octopus08
[seqwish::seqidx] 0.015 indexing sequences
[seqwish::seqidx] 907.437 index built
[seqwish::alignments] 907.438 processing alignments
[seqwish::alignments] 1971.214 indexing
[seqwish::alignments] 5399.451 index built
[seqwish::transclosure] 5399.453 computing transitive closures
[seqwish::transclosure] 5406.524 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 5436.264 0.00% 0-50000000 rank_build
[seqwish::transclosure] 5481.864 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 5521.440 0.00% 0-50000000 dset_write
[seqwish::transclosure] 5534.354 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 5545.064 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 5552.203 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 5561.833 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 5571.321 1.68% 50000000-100000000 overlap_collect
[seqwish::transclosure] 5596.355 1.68% 50000000-100000000 rank_build
[seqwish::transclosure] 5637.239 1.68% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 5759.854 1.68% 50000000-100000000 dset_write
[seqwish::transclosure] 5773.503 1.68% 50000000-100000000 dset_compression
[seqwish::transclosure] 5784.301 1.68% 50000000-100000000 dset_sort
[seqwish::transclosure] 5788.964 1.68% 50000000-100000000 dset_invert
[seqwish::transclosure] 5797.673 1.68% 50000000-100000000 graph_emission
[seqwish::transclosure] 5991.662 3.33% 100000000-150000000 overlap_collect
[seqwish::transclosure] 6023.708 3.33% 100000000-150000000 rank_build
[seqwish::transclosure] 6068.767 3.33% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 6139.803 3.33% 100000000-150000000 dset_write
[seqwish::transclosure] 6148.426 3.33% 100000000-150000000 dset_compression
[seqwish::transclosure] 6155.894 3.33% 100000000-150000000 dset_sort
[seqwish::transclosure] 6159.438 3.33% 100000000-150000000 dset_invert
[seqwish::transclosure] 6165.938 3.33% 100000000-150000000 graph_emission
[seqwish::transclosure] 6358.748 4.44% 150000000-200000000 overlap_collect
[seqwish::transclosure] 6385.509 4.44% 150000000-200000000 rank_build
[seqwish::transclosure] 6432.387 4.44% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 6536.552 4.44% 150000000-200000000 dset_write
[seqwish::transclosure] 6549.703 4.44% 150000000-200000000 dset_compression
[seqwish::transclosure] 6560.117 4.44% 150000000-200000000 dset_sort
[seqwish::transclosure] 6564.985 4.44% 150000000-200000000 dset_invert
[seqwish::transclosure] 6573.578 4.44% 150000000-200000000 graph_emission
[seqwish::transclosure] 6680.252 6.09% 200000000-250000000 overlap_collect
[seqwish::transclosure] 6710.734 6.09% 200000000-250000000 rank_build
[seqwish::transclosure] 6767.903 6.09% 200000000-250000000 parallel_union_find
[seqwish::transclosure] 6869.780 6.09% 200000000-250000000 dset_write
[seqwish::transclosure] 6883.976 6.09% 200000000-250000000 dset_compression
[seqwish::transclosure] 6895.511 6.09% 200000000-250000000 dset_sort
[seqwish::transclosure] 6900.229 6.09% 200000000-250000000 dset_invert
[seqwish::transclosure] 6908.936 6.09% 200000000-250000000 graph_emission
[seqwish::transclosure] 7069.812 7.74% 250000000-300000000 overlap_collect
[seqwish::transclosure] 7098.599 7.74% 250000000-300000000 rank_build
[seqwish::transclosure] 7145.259 7.74% 250000000-300000000 parallel_union_find
[seqwish::transclosure] 7256.287 7.74% 250000000-300000000 dset_write
[seqwish::transclosure] 7268.813 7.74% 250000000-300000000 dset_compression
[seqwish::transclosure] 7280.894 7.74% 250000000-300000000 dset_sort
[seqwish::transclosure] 7285.557 7.74% 250000000-300000000 dset_invert
[seqwish::transclosure] 7296.182 7.74% 250000000-300000000 graph_emission
[seqwish::transclosure] 7469.409 9.40% 300000000-350716373 overlap_collect
[seqwish::transclosure] 7498.136 9.40% 300000000-350716373 rank_build
[seqwish::transclosure] 7544.907 9.40% 300000000-350716373 parallel_union_find
[seqwish::transclosure] 7645.194 9.40% 300000000-350716373 dset_write
[seqwish::transclosure] 7656.716 9.40% 300000000-350716373 dset_compression
[seqwish::transclosure] 7667.710 9.40% 300000000-350716373 dset_sort
[seqwish::transclosure] 7672.186 9.40% 300000000-350716373 dset_invert
[seqwish::transclosure] 7679.693 9.40% 300000000-350716373 graph_emission
[seqwish::transclosure] 7850.742 10.98% 350716373-400716373 overlap_collect
[seqwish::transclosure] 7879.291 10.98% 350716373-400716373 rank_build
[seqwish::transclosure] 7927.088 10.98% 350716373-400716373 parallel_union_find
[seqwish::transclosure] 8051.845 10.98% 350716373-400716373 dset_write
[seqwish::transclosure] 8064.669 10.98% 350716373-400716373 dset_compression
[seqwish::transclosure] 8078.685 10.98% 350716373-400716373 dset_sort
[seqwish::transclosure] 8083.348 10.98% 350716373-400716373 dset_invert
[seqwish::transclosure] 8096.073 10.98% 350716373-400716373 graph_emission
[seqwish::transclosure] 8250.949 12.63% 400716373-450716373 overlap_collect
[seqwish::transclosure] 8275.741 12.63% 400716373-450716373 rank_build
[seqwish::transclosure] 8321.512 12.63% 400716373-450716373 parallel_union_find
[seqwish::transclosure] 8433.968 12.63% 400716373-450716373 dset_write
[seqwish::transclosure] 8447.146 12.63% 400716373-450716373 dset_compression
[seqwish::transclosure] 8459.420 12.63% 400716373-450716373 dset_sort
[seqwish::transclosure] 8464.345 12.63% 400716373-450716373 dset_invert
[seqwish::transclosure] 8474.910 12.63% 400716373-450716373 graph_emission
[seqwish::transclosure] 8650.976 14.29% 450716373-500716373 overlap_collect
[seqwish::transclosure] 8680.930 14.29% 450716373-500716373 rank_build
[seqwish::transclosure] 8730.949 14.29% 450716373-500716373 parallel_union_find
[seqwish::transclosure] 8846.921 14.29% 450716373-500716373 dset_write
[seqwish::transclosure] 8859.858 14.29% 450716373-500716373 dset_compression
[seqwish::transclosure] 8870.286 14.29% 450716373-500716373 dset_sort
[seqwish::transclosure] 8875.248 14.29% 450716373-500716373 dset_invert
[seqwish::transclosure] 8884.142 14.29% 450716373-500716373 graph_emission
[seqwish::transclosure] 9048.136 15.95% 500716373-550716373 overlap_collect
[seqwish::transclosure] 9074.193 15.95% 500716373-550716373 rank_build
[seqwish::transclosure] 9116.400 15.95% 500716373-550716373 parallel_union_find
[seqwish::transclosure] 9230.257 15.95% 500716373-550716373 dset_write
[seqwish::transclosure] 9244.014 15.95% 500716373-550716373 dset_compression
[seqwish::transclosure] 9256.653 15.95% 500716373-550716373 dset_sort
[seqwish::transclosure] 9261.556 15.95% 500716373-550716373 dset_invert
[seqwish::transclosure] 9272.343 15.95% 500716373-550716373 graph_emission
[seqwish::transclosure] 9448.131 17.60% 550716373-600716373 overlap_collect
[seqwish::transclosure] 9486.038 17.60% 550716373-600716373 rank_build
[seqwish::transclosure] 9534.990 17.60% 550716373-600716373 parallel_union_find
[seqwish::transclosure] 9626.394 17.60% 550716373-600716373 dset_write
[seqwish::transclosure] 9639.226 17.60% 550716373-600716373 dset_compression
[seqwish::transclosure] 9650.324 17.60% 550716373-600716373 dset_sort
[seqwish::transclosure] 9655.178 17.60% 550716373-600716373 dset_invert
[seqwish::transclosure] 9664.341 17.60% 550716373-600716373 graph_emission
[seqwish::transclosure] 9836.826 19.25% 600716373-650716373 overlap_collect
[seqwish::transclosure] 9863.258 19.25% 600716373-650716373 rank_build
