#length	nodes	edges	paths
6784107630	51589507	71138482	17478
##num_weakly_connected_components: 666
#component	nodes	is_acyclic
0	39166595	no
1	2762916	no
2	2574304	no
3	2202227	no
4	1382398	no
5	1266124	no
6	2203266	no
7	297	yes
8	4144	no
9	125	yes
10	894	no
11	268	no
12	21	yes
13	1	yes
14	33	yes
15	1	yes
16	801	no
17	61	no
18	19	yes
19	1	yes
20	1	yes
21	138	yes
22	1	yes
23	1	yes
24	1	yes
25	1	yes
26	158	no
27	1	yes
28	1	yes
29	1	yes
30	51	yes
31	1	yes
32	1	yes
33	5	yes
34	1	yes
35	1	yes
36	2	yes
37	1	yes
38	1	yes
39	1	yes
40	98	no
41	1	yes
42	1	yes
43	95	no
44	1	yes
45	1	yes
46	1	yes
47	1	yes
48	1	yes
49	1	yes
50	126	no
51	1	yes
52	1	yes
53	1	yes
54	324	no
55	1	yes
56	1	yes
57	1	yes
58	16	no
59	1	yes
60	1	yes
61	1	yes
62	1	yes
63	1	yes
64	1	yes
65	9	no
66	1	yes
67	1	yes
68	1	yes
69	1	yes
70	1	yes
71	1	yes
72	1	yes
73	1	yes
74	1	yes
75	1	yes
76	1	yes
77	1	yes
78	1	yes
79	1	yes
80	416	yes
81	1	yes
82	6	yes
83	1	yes
84	1	yes
85	1	yes
86	1	yes
87	1	yes
88	1	yes
89	1	yes
90	1	yes
91	1	yes
92	1	yes
93	1	yes
94	1	yes
95	1	yes
96	1	yes
97	1	yes
98	1	yes
99	1	yes
100	1	yes
101	1	yes
102	1	yes
103	1	yes
104	35	yes
105	1	yes
106	485	no
107	294	yes
108	86	yes
109	590	no
110	1	yes
111	103	yes
112	1	yes
113	1	yes
114	1	yes
115	1	yes
116	1	yes
117	1	yes
118	1	yes
119	81	yes
120	590	no
121	1	yes
122	1	yes
123	112	no
124	1	yes
125	1	yes
126	58	no
127	1	yes
128	1	yes
129	1	yes
130	137	no
131	1	yes
132	1	yes
133	1	yes
134	1	yes
135	1	yes
136	1	yes
137	1	yes
138	452	no
139	1	yes
140	1	yes
141	3	yes
142	1	yes
143	132	yes
144	158	no
145	1	yes
146	1	yes
147	1	yes
148	1	yes
149	1	yes
150	1	yes
151	1	yes
152	1	yes
153	1	yes
154	1	yes
155	1	yes
156	1	yes
157	38	yes
158	94	yes
159	78	no
160	1	yes
161	26	no
162	1	yes
163	1	yes
164	1	yes
165	1	yes
166	1	yes
167	32	no
168	1	yes
169	1	yes
170	1	yes
171	1	yes
172	1	yes
173	1	yes
174	1	yes
175	1	yes
176	1	yes
177	1	yes
178	1	yes
179	1	yes
180	1	yes
181	4	yes
182	1	yes
183	1	yes
184	74	yes
185	1	yes
186	1	yes
187	1	yes
188	300	yes
189	1	yes
190	1	yes
191	150	no
192	1	yes
193	113	yes
194	1	yes
195	1	yes
196	1	yes
197	376	yes
198	1	yes
199	1	yes
200	1	yes
201	1	yes
202	1	yes
203	1	yes
204	1	yes
205	1	yes
206	43	no
207	67	no
208	1	yes
209	1	yes
210	152	yes
211	1	yes
212	164	yes
213	1	yes
214	1	yes
215	1	yes
216	1	yes
217	158	no
218	47	no
219	1	yes
220	1	yes
221	53	yes
222	1	yes
223	1	yes
224	1	yes
225	1	yes
226	1	yes
227	1	yes
228	1	yes
229	1	yes
230	1	yes
231	1	yes
232	1	yes
233	1	yes
234	1	yes
235	1	yes
236	1	yes
237	1	yes
238	1	yes
239	1	yes
240	1	yes
241	1	yes
242	1	yes
243	1	yes
244	1	yes
245	1	yes
246	1	yes
247	1	yes
248	1	yes
249	1	yes
250	1	yes
251	1	yes
252	9	no
253	46	no
254	1	yes
255	1	yes
256	1	yes
257	1	yes
258	1	yes
259	1	yes
260	1	yes
261	408	no
262	1	yes
263	136	yes
264	128	yes
265	539	yes
266	1	yes
267	1	yes
268	20	yes
269	1	yes
270	1	yes
271	1	yes
272	1	yes
273	1	yes
274	1	yes
275	15	yes
276	1	yes
277	1	yes
278	1	yes
279	354	no
280	1	yes
281	1	yes
282	1	yes
283	1	yes
284	1	yes
285	512	no
286	1	yes
287	1	yes
288	2321	no
289	1	yes
290	16	yes
291	1	yes
292	1	yes
293	1	yes
294	1	yes
295	1	yes
296	56	yes
297	1	yes
298	1	yes
299	48	no
300	74	yes
301	259	yes
302	268	no
303	1	yes
304	53	yes
305	220	yes
306	1	yes
307	514	yes
308	133	yes
309	1	yes
310	1	yes
311	1	yes
312	1	yes
313	231	no
314	1	yes
315	1	yes
316	1	yes
317	1	yes
318	1	yes
319	159	yes
320	1	yes
321	1	yes
322	1	yes
323	1	yes
324	1	yes
325	1	yes
326	1	yes
327	1	yes
328	1	yes
329	1	yes
330	1	yes
331	1	yes
332	1	yes
333	1	yes
334	1	yes
335	1	yes
336	1	yes
337	1	yes
338	1	yes
