run	input.fasta	num.sequences	num.haplotypes	Gbps	A.fraction	C.fraction	G.fraction	T.fraction	N.fraction	input.paf	num.alignments	num.matches	s	l	p	n	k	B	time.seconds	memory.Gbytes	disk.Gbytes	gzipped.gfa.disk.size.Gbytes	graph.length	num.nodes	num.edges	num.paths	num.components	group	seg.len	min.mapping.len	map.ident	map.n	seqwish.k	seqwish.B
athaliana16.s100k.l300k.p98.n16.k311.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	311	50M	355	30.6002	4.0832	.1914	575703843	1740116	2384272	922	427	athaliana16	s100k	l300k	p98	n16	k311	B50M
athaliana16.s100k.l300k.p98.n16.k229.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	229	50M	364	32.0916	5.2665	.1923	541011246	2061194	2830863	922	412	athaliana16	s100k	l300k	p98	n16	k229	B50M
athaliana16.s100k.l300k.p98.n16.k179.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	179	50M	392	33.1188	4.7878	.1943	518575672	2332402	3209032	922	403	athaliana16	s100k	l300k	p98	n16	k179	B50M
athaliana16.s100k.l300k.p98.n16.k127.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	127	50M	378	34.2780	4.9666	.1982	494139357	2725122	3757855	922	402	athaliana16	s100k	l300k	p98	n16	k127	B50M
athaliana16.s100k.l300k.p98.n16.k79.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	79	50M	395	35.5667	5.8926	.2080	470317853	3291746	4552435	922	402	athaliana16	s100k	l300k	p98	n16	k79	B50M
athaliana16.s100k.l300k.p98.n16.k49.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	49	50M	406	36.5680	6.0549	.2207	454839920	3876268	5375957	922	402	athaliana16	s100k	l300k	p98	n16	k49	B50M
athaliana16.s100k.l300k.p98.n16.k29.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	29	50M	416	37.4733	6.9382	.2363	444186950	4535036	6307091	922	402	athaliana16	s100k	l300k	p98	n16	k29	B50M
athaliana16.s100k.l300k.p98.n16.k11.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	11	50M	442	38.6246	7.8265	.2666	434907242	5689355	7950352	922	402	athaliana16	s100k	l300k	p98	n16	k11	B50M
athaliana16.s100k.l300k.p98.n16.k0.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	0	50M	467	39.6779	9.4433	.3046	431537526	7029331	9945625	922	402	athaliana16	s100k	l300k	p98	n16	k0	B50M
athaliana16.s100k.l300k.p95.n16.k311.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	311	50M	375	33.0610	4.2140	.1718	452234836	2197480	2988478	922	329	athaliana16	s100k	l300k	p95	n16	k311	B50M
